Row,Timestamp,EventSource,SlideEvent,StimType,Duration,CollectionPhase,SourceStimuliName,EventSource,Heart rate,R-R interval,Energy expended,Contact,EventSource,SampleNumber,Timestamp RAW,Timestamp CAL,System Timestamp CAL,VSenseBatt RAW,VSenseBatt CAL,Internal ADC A13 PPG RAW,Internal ADC A13 PPG CAL,GSR RAW,GSR Resistance CAL,GSR Conductance CAL,Heart Rate PPG ALG,IBI PPG ALG,Packet reception rate RAW
1,4,SlideEvents,StartSlide,TestImage,3000000,StimuliDisplay,Screen recording 1,,,,,,,,,,,,,,,,,,,,
2,8,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302255,11581323,2361367.1875,1751016016656.7688,2547,3709.4769230769225,2517,1843.9560439560439,20109,64.380443714050941,15.532667100611352,-1,-1,99
3,16,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302256,11581579,2361375,1751016016664.5813,2548,3710.9333333333329,2514,1841.7582417582416,20108,64.40161104718068,15.527561869025281,-1,-1,99
4,23,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302257,11581835,2361382.8125,1751016016672.3938,2542,3702.1948717948717,2505,1835.164835164835,20107,64.422792303897381,15.522456637439216,-1,-1,99
5,31,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302258,11582091,2361390.625,1751016016680.2063,2547,3709.4769230769225,2512,1840.2930402930401,20108,64.40161104718068,15.527561869025281,-1,-1,99
6,39,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302259,11582347,2361398.4375,1751016016688.0188,2547,3709.4769230769225,2516,1843.2234432234432,20107,64.422792303897381,15.522456637439216,-1,-1,99
7,47,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302260,11582603,2361406.25,1751016016695.8313,2547,3709.4769230769225,2518,1844.6886446886447,20107,64.422792303897381,15.522456637439216,-1,-1,99
8,55,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302261,11582859,2361414.0625,1751016016703.6438,2543,3703.6512820512821,2512,1840.2930402930401,20107,64.422792303897381,15.522456637439216,-1,-1,99
9,63,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302262,11583115,2361421.875,1751016016711.4563,2547,3709.4769230769225,2516,1843.2234432234432,20106,64.443987497943752,15.517351405853145,-1,-1,99
10,70,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302263,11583371,2361429.6875,1751016016719.2688,2547,3709.4769230769225,2518,1844.6886446886447,20106,64.443987497943752,15.517351405853145,-1,-1,99
11,78,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302264,11583627,2361437.5,1751016016727.0813,2548,3710.9333333333329,2514,1841.7582417582416,20106,64.443987497943752,15.517351405853145,-1,-1,99
12,86,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302265,11583883,2361445.3125,1751016016734.8938,2543,3703.6512820512821,2510,1838.8278388278386,20105,64.465196643080461,15.512246174267082,-1,-1,99
13,94,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302266,11584139,2361453.125,1751016016742.7063,2547,3709.4769230769225,2515,1842.4908424908424,20105,64.465196643080461,15.512246174267082,-1,-1,99
14,102,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302267,11584395,2361460.9375,1751016016750.5188,2546,3708.0205128205125,2512,1840.2930402930401,20104,64.486419753086423,15.507140942681012,-1,-1,99
15,109,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302268,11584651,2361468.75,1751016016758.3313,2548,3710.9333333333329,2511,1839.5604395604394,20104,64.486419753086423,15.507140942681012,-1,-1,99
16,117,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302269,11584907,2361476.5625,1751016016766.1438,2542,3702.1948717948717,2503,1833.6996336996335,20103,64.507656841758617,15.50203571109494,-1,-1,99
17,125,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302270,11585163,2361484.375,1751016016773.9563,2548,3710.9333333333329,2507,1836.6300366300366,20103,64.507656841758617,15.50203571109494,-1,-1,99
18,133,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302271,11585419,2361492.1875,1751016016781.7688,2547,3709.4769230769225,2513,1841.0256410256409,20103,64.507656841758617,15.50203571109494,-1,-1,99
19,141,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302272,11585675,2361500,1751016016789.5813,2548,3710.9333333333329,2512,1840.2930402930401,20103,64.507656841758617,15.50203571109494,-1,-1,99
20,148,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302273,11585931,2361507.8125,1751016016797.3938,2543,3703.6512820512821,2509,1838.0952380952381,20102,64.528907922912197,15.49693047950888,-1,-1,99
21,156,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302274,11586187,2361515.625,1751016016805.2063,2548,3710.9333333333329,2509,1838.0952380952381,20102,64.528907922912197,15.49693047950888,-1,-1,99
22,164,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302275,11586443,2361523.4375,1751016016813.0188,2548,3710.9333333333329,2510,1838.8278388278386,20102,64.528907922912197,15.49693047950888,-1,-1,99
23,172,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302276,11586699,2361531.25,1751016016820.8313,2548,3710.9333333333329,2510,1838.8278388278386,20101,64.550173010380632,15.491825247922806,-1,-1,99
24,180,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302277,11586955,2361539.0625,1751016016828.6438,2542,3702.1948717948717,2503,1833.6996336996335,20101,64.550173010380632,15.491825247922806,-1,-1,99
25,188,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302278,11587211,2361546.875,1751016016836.4563,2547,3709.4769230769225,2511,1839.5604395604394,20101,64.550173010380632,15.491825247922806,-1,-1,99
26,195,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302279,11587467,2361554.6875,1751016016844.2688,2547,3709.4769230769225,2515,1842.4908424908424,20101,64.550173010380632,15.491825247922806,-1,-1,99
27,203,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302280,11587723,2361562.5,1751016016852.0813,2548,3710.9333333333329,2513,1841.0256410256409,20100,64.571452118015486,15.486720016336744,-1,-1,99
28,211,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302281,11587979,2361570.3125,1751016016859.8938,2542,3702.1948717948717,2504,1834.4322344322343,20100,64.571452118015486,15.486720016336744,-1,-1,99
29,219,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302282,11588235,2361578.125,1751016016867.7063,2547,3709.4769230769225,2512,1840.2930402930401,20099,64.592745259686737,15.48161478475067,-1,-1,99
30,227,,,,,,,,,,,,Shimmer 569430 A1B9 GSR,302283,11588491,2361585.9375,1751016016875.5188,2546,3708.0205128205125,2510,1838.8278388278386,20099,64.592745259686737,15.48161478475067,-1,-1,99
